"2021-07-29 14:10:07.152588","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:10.173123","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:13.189156","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:16.208638","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:19.230976","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:22.250132","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:25.273120","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:28.297501","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:31.314018","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:34.330089","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:37.353573","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:40.372386","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:40.895343","root[root] @  [172.19.0.1]",21,1,"Query","CREATE USER 'hub_catalago'@'%' IDENTIFIED WITH 'mysql_native_password' BY <secret>"
"2021-07-29 14:10:40.907067","root[root] @  [172.19.0.1]",21,1,"Query","use mysql"
"2021-07-29 14:10:40.908835","root[root] @  [172.19.0.1]",21,1,"Query","GRANT ALL PRIVILEGES ON *.* TO 'hub_catalago'@'%'WITH GRANT OPTION"
"2021-07-29 14:10:40.913093","root[root] @  [172.19.0.1]",21,1,"Query","GRANT ALL PRIVILEGES ON *.* TO 'hub_catalago'@'%'"
"2021-07-29 14:10:40.915296","root[root] @  [172.19.0.1]",21,1,"Query","ALTER USER 'hub_catalago'@'%' WITH MAX_QUERIES_PER_HOUR 0 MAX_UPDATES_PER_HOUR 0 MAX_CONNECTIONS_PER_HOUR 0 MAX_USER_CONNECTIONS 0"
"2021-07-29 14:10:40.917399","root[root] @  [172.19.0.1]",21,1,"Query","ALTER USER 'hub_catalago'@'%' IDENTIFIED BY <secret>"
"2021-07-29 14:10:40.919226","root[root] @  [172.19.0.1]",21,1,"Query","use mysql"
"2021-07-29 14:10:40.920409","root[root] @  [172.19.0.1]",21,1,"Query","SELECT * FROM mysql.user WHERE User='hub_catalago' AND Host='%' ORDER BY User, Host"
"2021-07-29 14:10:40.921913","root[root] @  [172.19.0.1]",21,1,"Query","SELECT * FROM mysql.tables_priv WHERE Host='%' AND User='hub_catalago' AND Db='mysql'"
"2021-07-29 14:10:40.923168","root[root] @  [172.19.0.1]",21,1,"Query","SELECT * FROM mysql.db WHERE User='hub_catalago' AND Host='%' ORDER BY Db"
"2021-07-29 14:10:40.953980","root[root] @  [172.19.0.1]",21,1,"Query","SHOW DATABASES"
"2021-07-29 14:10:40.956009","root[root] @  [172.19.0.1]",21,1,"Query","SELECT User, Host FROM mysql.user ORDER BY User"
"2021-07-29 14:10:40.957596","root[root] @  [172.19.0.1]",21,1,"Query","SELECT d.User, d.Host, d.Db FROM mysql.db AS d LEFT JOIN mysql.user AS u ON d.User = u.user AND d.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:10:40.959117","root[root] @  [172.19.0.1]",21,1,"Query","SELECT t.User, t.Host, t.Db, t.Table_name FROM mysql.tables_priv AS t LEFT JOIN mysql.user AS u ON t.User = u.user AND t.Host = u.Host WHERE u.User IS NULL"
